City,Insurer,Q1,Q2,Q5a,Q8_1
LUDHIANA,Go Digit,10,,,8.0
HYDERABAD,National Insurance,10,,,8.0
BANGALORE,New India,7,,,9.0
HYDERABAD,National Insurance,7,,,8.0
AHMEDABAD,Tata AIG,9,,,9.0
INDORE,Go Digit,8,,,7.0
KOLKATA,HDFC Ergo,9,,,10.0
MUMBAI,Go Digit,10,10.0,,
DELHI,ICICI Lombard,10,,9.0,9.0
CHENNAI,Go Digit,10,,9.0,9.0
MUMBAI,ACKO,8,,,10.0
KOLKATA,ICICI Lombard,9,,8.0,9.0
CHENNAI,ICICI Lombard,9,,9.0,9.0
JAIPUR,ICICI Lombard,9,,,9.0
JAIPUR,Tata AIG,2,,,2.0
MUMBAI,Bagic,10,,10.0,9.0
LUDHIANA,ICICI Lombard,8,8.0,10.0,
MUMBAI,Go Digit,10,10.0,,
JAIPUR,Tata AIG,9,,,10.0
MUMBAI,Go Digit,9,8.0,,
KANPUR,Go Digit,9,,9.0,10.0
LUDHIANA,HDFC Ergo,4,,,4.0
KANPUR,Bagic,9,,,10.0
KOLKATA,ICICI Lombard,9,7.0,9.0,
INDORE,ACKO,8,,7.0,8.0
CHENNAI,Tata AIG,10,10.0,,
BANGALORE,ICICI Lombard,9,,,10.0
LUDHIANA,Go Digit,9,9.0,10.0,
CHENNAI,Bagic,10,,,10.0
DELHI,Go Digit,7,6.0,,
PUNE,Tata AIG,9,,,7.0
HYDERABAD,Go Digit,9,,10.0,8.0
DELHI,National Insurance,4,6.0,5.0,
AHMEDABAD,HDFC Ergo,7,,9.0,7.0
PUNE,Go Digit,8,8.0,10.0,
LUDHIANA,HDFC Ergo,9,,9.0,7.0
BANGALORE,ACKO,7,,,6.0
LUDHIANA,Bagic,9,,,10.0
AHMEDABAD,National Insurance,7,8.0,,
BANGALORE,New India,6,,,5.0
INDORE,Go Digit,6,,,7.0
KOLKATA,Tata AIG,8,8.0,8.0,
HYDERABAD,Go Digit,10,,,9.0
BANGALORE,ICICI Lombard,7,,,6.0
JAIPUR,ACKO,9,,9.0,8.0
BANGALORE,HDFC Ergo,9,,,9.0
PUNE,ICICI Lombard,8,,10.0,10.0
CHENNAI,Tata AIG,10,10.0,,
INDORE,Tata AIG,10,10.0,9.0,
LUDHIANA,ACKO,10,10.0,8.0,
MUMBAI,ACKO,9,,10.0,10.0
PUNE,HDFC Ergo,9,,,9.0
BANGALORE,Tata AIG,10,9.0,8.0,
LUDHIANA,New India,9,,,10.0
JAIPUR,National Insurance,10,,9.0,8.0
INDORE,National Insurance,7,,9.0,10.0
INDORE,Go Digit,9,,,10.0
PUNE,ICICI Lombard,7,8.0,,
INDORE,Tata AIG,9,9.0,,
LUDHIANA,New India,9,10.0,,
HYDERABAD,Tata AIG,7,8.0,,
AHMEDABAD,National Insurance,8,,,8.0
AHMEDABAD,Bagic,7,,,8.0
HYDERABAD,New India,5,,,8.0
MUMBAI,Bagic,9,,,7.0
HYDERABAD,ACKO,8,9.0,,
JAIPUR,ICICI Lombard,7,,,6.0
DELHI,New India,9,,,9.0
MUMBAI,National Insurance,4,4.0,,
BANGALORE,Bagic,9,,,10.0
KOLKATA,ACKO,5,,,4.0
KANPUR,National Insurance,9,,,10.0
